data,y
2023-03-31,26713
2023-04-03,26773
2023-04-04,26628
2023-04-05,26444
2023-04-06,26790
2023-04-11,27074
2023-04-12,27207
2023-04-13,27201
2023-04-14,27448
2023-04-17,27301
2023-04-18,27465
2023-04-19,27514
2023-04-20,27208
2023-04-21,27301
2023-04-24,27444
2023-04-25,27163
2023-04-26,26987
2023-04-27,27067
2023-04-28,26979
2023-05-02,26510
2023-05-03,26709
2023-05-04,26540
2023-05-05,27201
2023-05-08,27294
2023-05-09,27233
2023-05-10,27132
2023-05-11,26964
2023-05-12,27202
2023-05-15,27108
2023-05-16,27065
2023-05-17,27043
2023-05-18,27108
2023-05-19,27361
2023-05-22,27456
2023-05-23,27313
2023-05-24,26680
2023-05-25,26559
2023-05-26,26844
2023-05-29,26746
2023-05-30,26708
2023-05-31,26163
2023-06-01,26665
2023-06-02,27173
2023-06-05,26946
2023-06-06,27129
2023-06-07,27155
2023-06-08,27380
2023-06-09,27266
2023-06-12,27505
2023-06-13,27697
2023-06-14,27937
2023-06-15,27831
2023-06-16,27960
2023-06-19,27924
2023-06-20,27768
2023-06-21,27791
2023-06-22,27562
2023-06-23,27364
2023-06-26,27405
2023-06-27,27559
2023-06-28,27792
2023-06-29,28060
2023-06-30,28388
2023-07-03,28610
2023-07-04,28552
2023-07-05,28377
2023-07-06,27627
2023-07-07,27880
2023-07-10,27988
2023-07-11,28176
2023-07-12,28687
2023-07-13,28877
2023-07-14,28802
2023-07-17,28742
2023-07-18,28834
2023-07-19,28832
2023-07-20,28931
2023-07-21,28972
2023-07-24,29105
2023-07-25,29154
2023-07-26,29161
2023-07-27,29779
2023-07-28,29714
2023-07-31,29837
2023-08-01,29550
2023-08-02,29147
2023-08-03,28859
2023-08-04,28790
2023-08-07,28710
2023-08-08,28127
2023-08-09,28442
2023-08-10,28714
2023-08-11,28415
2023-08-14,28571
2023-08-16,28304
2023-08-17,27990
2023-08-18,27876
2023-08-21,28107
2023-08-22,28268
